Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background,tag
"821.322,290.387","731.299,272.79","664.603,245.435","607.855,415.796","568.652,578.466","805.649,298.3","789.999,431.512","786.139,570.525","590.219,337.509","531.415,333.524","627.398,468.761","574.535,715.594","648.952,355.097","713.577,480.54","682.284,694.05","819.383,272.704","837.044,276.711","778.248,210.107","0.0,0.0","748.904,699.939","746.935,697.945","666.633,699.966","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"819.352,292.408","731.286,272.849","664.586,247.356","607.833,415.796","566.716,582.347","805.691,298.266","790.006,431.52","786.115,568.655","590.209,337.465","531.414,331.575","629.406,462.801","576.488,715.6","647.032,353.171","713.555,482.469","682.278,694.004","813.571,272.817","836.974,282.606","778.335,212.059","0.0,0.0","748.88,699.99","745.011,697.965","666.639,699.92","603.878,715.612","0.0,0.0","588.252,715.643",0,1
"821.349,298.305","733.238,274.824","666.551,253.218","605.916,413.834","566.686,584.287","807.619,304.199","790.039,431.612","786.076,570.534","588.279,337.428","531.398,327.69","631.316,458.94","576.516,715.595","648.938,353.147","711.742,482.462","682.289,694.002","819.368,276.7","837.053,288.447","778.349,216.015","0.0,0.0","748.891,699.988","746.912,697.963","666.659,699.914","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"821.34,304.165","733.226,274.847","666.568,255.201","603.999,415.824","566.7,584.345","805.686,300.261","790.115,431.488","786.103,570.595","590.188,337.469","533.381,327.666","629.392,460.838","576.505,715.596","648.971,355.087","713.549,482.461","682.294,694.03","819.411,286.505","836.987,290.506","782.187,223.833","0.0,0.0","750.856,699.934","746.956,697.961","666.659,699.945","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"823.307,306.129","735.18,274.822","666.611,255.195","605.885,413.879","568.589,584.344","807.617,296.349","791.953,431.594","788.015,570.616","588.243,335.557","531.439,325.727","631.348,458.955","578.455,715.587","647.002,353.181","713.555,482.451","682.274,695.909","821.396,288.464","838.977,292.447","786.13,225.75","0.0,0.0","748.87,699.953","745.007,697.954","666.64,699.987","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"823.41,306.167","737.143,276.752","668.541,257.142","607.798,413.877","568.666,586.187","807.653,298.268","792.008,433.454","787.997,572.503","592.178,335.538","537.291,325.692","633.24,460.856","0.0,0.0","648.999,353.164","713.574,482.437","682.278,694.043","823.306,288.497","839.065,292.442","788.036,227.703","0.0,0.0","748.89,699.944","746.928,697.947","666.633,699.984","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"827.264,306.164","741.023,274.84","672.48,257.142","609.774,413.912","570.588,586.243","807.714,296.314","791.998,433.477","788.007,572.515","594.132,337.434","539.217,323.777","629.407,466.762","0.0,0.0","650.894,355.14","713.594,482.485","682.306,694.031","825.285,288.543","844.861,292.456","789.936,227.818","0.0,0.0","746.956,699.96","744.969,697.966","666.646,699.952","0.0,0.0","0.0,0.0","0.0,0.0",0,1
"831.144,306.237","741.078,276.776","674.424,259.156","615.595,417.786","570.656,586.292","811.562,294.387","792.024,435.401","787.991,572.572","599.961,337.427","537.299,323.796","631.329,466.767","578.435,699.927","652.889,355.135","713.597,480.522","682.317,694.006","829.207,290.444","848.767,294.386","790.083,227.857","0.0,0.0","748.86,699.976","745.003,697.981","666.651,699.918","601.999,715.603","588.26,715.661","588.203,715.632",0,1
"837.063,306.197","742.932,276.782","672.502,263.042","617.542,417.839","572.557,586.341","809.633,290.454","792.09,433.483","788.037,572.57","598.016,337.458","537.311,327.697","633.271,468.752","574.576,695.989","650.926,357.053","717.518,484.376","682.31,694.032","837.02,290.458","852.612,294.363","791.985,231.676","0.0,0.0","746.962,699.946","746.921,697.967","666.622,699.91","601.922,715.598","582.369,715.657","582.37,715.623",0,1
"838.974,306.236","742.948,276.781","674.426,264.963","617.622,419.787","572.559,588.161","809.631,290.408","793.928,435.401","788.065,572.567","598.006,337.488","539.211,333.518","635.303,474.564","576.473,697.902","650.927,355.123","721.428,480.535","682.26,695.94","839.027,290.467","0.0,0.0","793.913,231.702","0.0,0.0","739.11,715.585","711.689,715.614","666.591,701.872","601.95,715.597","580.395,715.657","582.354,715.623",0,1
